prs,sp_name,linkage_name,temp_file
defdac,"initialize_range<char *>",_ZN6parlay8sequenceIcNS_9allocatorIcEELb1EE16initialize_rangeIPcEEvT_S6_St26random_access_iterator_tag,./parlay/sequence.h
defdac,"parallel_for<(lambda at ./parlay/sequence.h:570:24)>",_ZN6parlay12parallel_forIZNS_8sequenceIcNS_9allocatorIcEELb1EE16initialize_rangeIPcEEvT_S7_St26random_access_iterator_tagEUlmE_EEvmmS7_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"sequence<(lambda at ./parlay/primitives.h:998:5)>",_ZN6parlay8sequenceImNS_9allocatorImEELb0EEC2IZNS_7flattenISt4pairIPcmEEEDaONS0_INS0_IT_NS1_IS9_EEXsr3std7is_sameIS9_cEE5valueEEENS1_ISB_EEXsr3std7is_sameISB_cEE5valueEEEEUlmE_EEmOS9_NS3_18_from_function_tagEm,./parlay/sequence.h
defef,"parallel_for<(lambda at ./parlay/primitives.h:1001:36)>",_ZN6parlay12parallel_forIZNS_7flattenISt4pairIPcmEEEDaONS_8sequenceINS5_IT_NS_9allocatorIS6_EEXsr3std7is_sameIS6_cEE5valueEEENS7_IS9_EEXsr3std7is_sameIS9_cEE5valueEEEEUlmE0_EEvmmS6_lb,./parlay/internal/scheduler_plugins/opencilk.h
both,"~sequence_base",_ZN6parlay17sequence_internal13sequence_baseImNS_9allocatorImEELb0EED2Ev,./parlay/internal/sequence_base.h
defdac,"parallel_for<(lambda at ./parlay/internal/delayed/../../utilities.h:384:31)>",_ZN6parlay12parallel_forIZNS_26uninitialized_relocate_n_aIPSt4pairIPcmES5_SaIS4_EEEvT_T0_mRT1_EUlmE_EEvmmS7_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"parallel_for<(lambda at ./parlay/sequence.h:515:24)>",_ZN6parlay12parallel_forIZNS_8sequenceImNS_9allocatorImEELb0EEC1IZNS_7flattenISt4pairIPcmEEEDaONS1_INS1_IT_NS2_ISA_EEXsr3std7is_sameISA_cEE5valueEEENS2_ISC_EEXsr3std7is_sameISC_cEE5valueEEEEUlmE_EEmOSA_NS4_18_from_function_tagEmEUlmE_EEvmmSA_lb,./parlay/internal/scheduler_plugins/opencilk.h
defdac,"initialize_fill",_ZN6parlay8sequenceISt4pairIPcmENS_9allocatorIS3_EELb0EE15initialize_fillEmRKS3_,./parlay/sequence.h
defdac,"parallel_for<(lambda at ./parlay/sequence.h:541:24)>",_ZN6parlay12parallel_forIZNS_8sequenceISt4pairIPcmENS_9allocatorIS4_EELb0EE15initialize_fillEmRKS4_EUlmE_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"report",_ZN6parlay8internal5timer6reportEdNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,./parlay/internal/get_time.h
defdac,"seq_write_<parlay::uninitialized_copy_tag, parlay::slice<char *const *, char *const *>, char ***, parlay::slice<parlay::delayed_sequence<unsigned long, unsigned long, (lambda at ./parlay/internal/collect_reduce.h:305:35)>::iterator, parlay::delayed_sequence<unsigned long, unsigned long, (lambda at ./parlay/internal/collect_reduce.h:305:35)>::iterator> >",_ZN6parlay8internal10seq_write_INS_22uninitialized_copy_tagENS_5sliceIPKPcS6_EEPPS4_NS3_INS_16delayed_sequenceImmZNS0_22collect_reduce_sparse_IS2_S7_NS_19count_by_key_helperIS4_mRZ10wordCountsRKNS_8sequenceIcNS_9allocatorIcEELb1EEEbE3$_3RZ10wordCountsSI_bE3$_4EEEEDaT0_RKT1_EUlmE_E8iteratorESU_EEEEvSO_T2_SP_m,./parlay/internal/counting_sort.h
